S/No,Hausa,Polarity,English
232,a ruwa yafada,negative,he fall in water
233,a sa'a,neutral,on the hour
234,a sabani,negative,a discrepant
235,a safar hannu,neutral,a glove
236,a sake haihuwa,neutral,a renaissance
237,a sake shi,neutral,release him
238,a sake zagayowar,neutral,a cycle
239,a saki,neutral,a divorce
240,a salo,neutral,a style
241,a salon rayuwa,neutral,a lifestyle
242,a sama akwai kyauta,positive,above there is a gift
243,a saman,neutral,a surface
244,a sanyi rai,negative,a cold soul
245,a sa'o'i,neutral,on hours
246,a sararin sama,neutral,the horizon
247,a sauti,neutral,a sound
248,a sauwake mana,positive,make it easy for us
249,a saya da shi,neutral,a bought it with
250,a sha kwayoyin,negative,take the pills
251,a shafi,neutral,a page
252,a shagali,neutral,a concert
253,a shawa,neutral,a shower
254,a shiryayye,neutral,a shelf
255,a shirye don yanke shawara,neutral,poised to make a decision
256,a shirye ya yi,positive,willing to do it
257,a suna,neutral,a son
258,a swank,negative,the swank
259,a tafkin,neutral,a lake
260,a taga,neutral,a window
261,a takaice a takaice,neutral,"briefly, briefly"
262,a takaice dai,neutral,it was briefly
263,a takaice game da wani abu,neutral,brief about something
264,a takaice na dan lokaci kadan,neutral,"briefly, for a short time"
265,a takaice yake,neutral,in short
266,a takardar,neutral,a sheet
267,a takardar sayan magani,neutral,a prescription
268,a tarho,neutral,a telephone
269,a taro,neutral,a summit
270,a titi,neutral,a street
271,a tiyata,neutral,a surgery
272,a tsarin,neutral,a rule of
273,a tsarin kafinta,neutral,a systematic carpenter
274,a tsegumi,negative,a gossip
275,a tsorace,negative,fearfully afraid
276,a tudu,neutral,a hill
277,a tunowa,neutral,a recall
278,a tushe,neutral,a foundation
279,a uwa,neutral,a mom
280,a waje yana waje,neutral,the outside is outside
281,a wajen arna,neutral,in the case of heathens
282,a wake,neutral,a bean
283,a waliyyi,positive,a saint
284,a wannan lokacin,neutral,at this time
285,a watsar da yaran,neutral,abandon the children
286,a waya,neutral,a phone
287,a yalwace,neutral,in abundance
288,a yatsa,neutral,a finger
289,a yaudare ku,negative,be deceived
290,a yayin taron,neutral,during the event
291,a yi wa'azi,negative,be admonished
292,a yini mai kyau,positive,have a nice day
293,a zagi,negative,a foul
294,a zahiri gaskiya ne,neutral,it's actually actual
295,a zahiri na gyara shi,neutral,i actually edited it
296,a zamewa,neutral,a slip
297,a zango,neutral,a range
298,a zato,neutral,the assumption
299,a zauna lafiya,positive,stay safe
300,a zobe,neutral,a ring
301,a zuhudu,neutral,a convent
302,a'a ba haka ba ne,neutral,"no, it is not like that"
303,a'a me?,neutral,"no, what?"
304,abin a yaba ne,positive,it is commendable
305,abin al'ajabi,neutral,what a miracle
306,abin al'ajabi na farin ciki,positive,the miracle of happiness
307,abin al'ajabi ne ness,positive,"it was a miracle, ness"
308,abin alfahari ne,neutral,it's a conceit
309,abin alfaharina,positive,my pride
310,abin ba'a ne,negative,it's ridiculous
311,abin bai yi dadi ba,negative,it was not pleasing
312,abin bakin ciki ne,negative,it was sad
313,abin bakin ciki ne mai ban tsoro,negative,it was dismayingly sad
314,abin bakin ciki ne matuka,negative,it was very sadly
315,abin ban dariya,positive,a funny feeling
316,abin ban dariya ne,neutral,it's humor
317,abin ban haushi,negative,annoyingly
318,abin ban mamaki da ban sha'awa,positive,amazing and impressive
319,abin ban mamaki mai ban tsoro,positive,strikingly audacious
320,abin ban mamaki sosai,negative,quite monumentally
321,abin ban sha'awa,positive,exciting
322,abin ban tsoro,negative,quite alarmingly
323,abin bankyama,negative,disgusting
324,abin bankyama ne,negative,it was disgusting
325,abin burgewa,positive,it is impressive
326,abin burgewa ga kowa da kowa,positive,impressive for everyone
327,abin burgewa sosai,positive,it was very captivating
328,abin da,neutral,that's what
329,abin da aka fi so,positive,it is a favorite
330,abin da aka makala,neutral,what is attached
331,abin da ake ba da fifiko shi ne yin alheri,positive,the priority is to do good
332,abin da ake bukata,neutral,what is required
333,abin da ake iya gani da tabawa,neutral,what can be seen and touched
334,abin da amarya ta fi so,positive,it is a bride's favorite
335,abin da ba a fahimta ba,neutral,the incomprehensible
336,abin da ba a iya bayyanawa,negative,the inexplicable
337,abin da ba a iya bayyanawa ba,neutral,the unexplainable
338,abin da ba a iya kaiwa ba,neutral,the unreachable
339,abin da ba a ji ba,neutral,the unheard of
340,abin da ba a sani ba,negative,the unknown
341,abin da ba a zata ba,positive,the unexpected
342,abin da ba ya so,negative,what he did not want
343,abin da babu makawa,neutral,the inevitable
344,abin da baya konewa,negative,what does not burn
345,abin da ke jan hankali,positive,what attracts attention
346,abin da ke sa mutum alfahari,positive,what makes a person proud
347,abin da kyakkyawa abu,positive,what a lovely thing
348,abin da ya bambanta,neutral,what stands out
349,abin da ya ci,positive,what he ate
350,abin da ya faru ke nan gulma,negative,backbiting is what happened
351,abin da ya kamata a yi,neutral,the ethical thing to do
352,abin da ya rushe,negative,what he broke down
353,abin da ya yi ba daidai ba,negative,what he did wrong
354,abin da za a daidaita,neutral,what to adjust
355,abin da za a sa,neutral,what to wear
356,abin da zai iya faruwa ba shi da kyau,negative,what can happen is bad
357,abin damuwa ne,negative,it's a concern
358,abin damuwa ne na abokai,neutral,it is a concern of friends
359,abin damuwa ne na kamfani,neutral,it is a corporate concern
360,abin dariya,neutral,what a joke
361,abin dariya ,positive,what a joke
362,abin dariya ne,negative,it is a bad joke
363,abin dogara ne,positive,it is reliable
364,abin dubawa,neutral,something to look at
365,abin farin ciki,negative,the ecstasies
366,abin farin ciki ne,positive,what fun it is
367,abin farin ciki ne a buga,neutral,it is a pleasure to publish
368,abin farin ciki ne a sha,neutral,it is a pleasure to drink
369,abin farin ciki ne don koyarwa,neutral,it is a pleasure to teach
370,abin farin ciki ne ga malamai,positive,it is a pleasure for the teachers
371,abin farin ciki ne haka,negative,it was ecstatically so
372,abin farin ciki ne in rubuta,neutral,it is a pleasure to write
373,abin farin ciki ne na baki,positive,it is the happiness of the visitors
374,abin farin ciki ne na dattawa,positive,it is the joy of the elders
375,abin farin ciki ne na marubuta,positive,it is the happiness of writers
376,abin farin ciki ne na masu fassara,positive,it is the happiness of translators
377,abin farin ciki ne ziyartar,positive,it was a pleasure to visit
378,abin farin cikin ma'aikata ne,positive,it is the happiness of the workers
379,abin farin cikin ma'aikatan ceto ne,positive,it is the joy of the workers of salvation
380,abin farin cikin yara ne,positive,it is the joy of children
381,abin girmamawa,positive,what an honor
382,abin godiya,positive,it's thankful
383,abin haushi ne,negative,it was annoying
384,abin hawa abin hawa ne,neutral,the vehicle is a vehicle
385,abin hawa lafiya,positive,a healthy vehicle
386,abin hawa mai kyau,positive,good vehicle
387,abin jin dadi,positive,the amenity
388,abin jin dadinn yaro ne,neutral,it is a child's pleasure
389,abin karba ne,neutral,it is acceptable
390,abin ki ne a gare su,negative,it is hateful to them
391,abin kunya,negative,shameful
392,abin kunya mara gaskiya,negative,unreal shame
393,abin kunya na rashin mutunci,negative,a scandal of dishonor
394,abin kunya ne,negative,it's a disgrace
395,abin kunya ne sosai,negative,it was very embarrassing
396,abin kyama ne,negative,it's detestable
397,abin kyama ne ,positive,it was detestably 
398,abin lura ne,positive,it is noteworthy
399,abin lura sosai,neutral,very noteworthy
400,abin mamaki,negative,it's a baffle
401,abin mamaki abin al'ajabi,positive,"amazingly, miraculously"
402,abin mamaki abin mamaki,positive,"surprisingly, remarkably"
403,abin mamaki da sauri,positive,strikingly fast
404,abin mamaki na gaske,positive,a real surprise
405,abin mamaki ne,negative,it was a shock
406,abin mutunci ,positive,integrity
407,abin raini ne,negative,it was contemptuously contemptuous
408,abin rashin mutunci ne,negative,it was disrespectable
409,abin rufe fuska yana kunne,neutral,the mask was on
410,abin sha bayyananne,positive,a clear drink
411,abin sha kyauta,positive,free drink
412,abin sha mai dadi,positive,a delicious drink
413,abin sha mai dadin,positive,a delicious drink
414,abin sha mai daraja,positive,a precious drink
415,abin sha mai inganci,positive,a quality drink
416,abin sha mai lafiya,positive,a healthy drink
417,abin sha'awa,positive,inspiring
418,abin sha'awa ne na babur,neutral,it is a motorcycle hobby
419,abin sha'awa ne na ji,positive,it is admiration that i feel
420,abin sha'awa ne na ji dadi,positive,it is admiration that i enjoy
421,abin so ne,positive,it was fondness
422,abin takaici,negative,the discouragement
423,abin takaici ne,negative,it is regrettable
424,abin takaici ne ga mata,negative,it is a tragedy for women
425,abin takaici ne ga matasa,negative,it is a tragedy for young people
426,abin takaici ne ga yara,negative,it is a tragedy for children
427,abin tambaya ne,negative,it is questionable
428,abin tausayi ga marubuta,positive,it is a pity for the writers
429,abin tausayi ne,negative,it was brutally brutal
430,abin tausayi ne na inji,negative,it is a mechanical pity
431,abin tsoro,positive,what a horror
432,abin tsoro kenan,negative,terribly thing
433,abin tsoro ne,negative,it was scary
434,abin tsoro ne sosai,negative,it was very cowardice
435,abin tunawa ne,neutral,it is a memory
436,abin wasa,neutral,a toy
437,abin wasa ne,positive,it is a joke
438,abin wasa ne da ita,neutral,it is a joke with her
439,abin wasan yara,neutral,the toy
440,abin wulakanci ne,negative,it is despicable
441,abin wuya,neutral,collar
442,abin ya baci,negative,it was exasperating
443,abin ya baci matuka,negative,it was very frustrating
444,abin ya burgeshi,negative,it was enthralled
445,abin ya ci tura,negative,it was disappointed
446,abin ya dame ni,negative,i was bothered by it
447,abin ya dame shi,negative,it was bothered by
448,abin ya daure kai,negative,it was awkward
449,abin ya gigice,negative,it was shocked
450,abin ya juye,neutral,the thing is turned upside down
451,abin ya rude,negative,it was confounded
452,abin ya tashi sosai,negative,it was very disturbed
453,abin ya yi,neutral,the thing is done
454,abin ya yi mamaki,positive,it was amazed
455,abin yabawa ne sosai,positive,it was very commendably
456,abin yabo ne,positive,it is a praise of tells
457,abin yabo ne ga sojoji,positive,it is a tribute to the soldiers
458,abin yabo sosai,positive,thoroughly praiseworthy
459,abin zalunci ne,negative,it was cruelly
460,abin zargi ne,neutral,it is reprehensible
461,abinci mai dadi,positive,sweet food
462,abinci mai daraja,positive,precious food
463,abinci mai gamsarwa,positive,satisfying food
464,abinci mai inganci,positive,quality food
465,abinci mai kyau,positive,good food
466,abinci mai tsami,negative,sour food
467,abinci mai yawa,neutral,a lot of food
468,abinci mara kyau,negative,poor food
469,abinci na musamman,positive,special food
470,abinci ne,neutral,it is food
471,abinci ne mai tsafta,positive,it is pure food
472,abincin arziki kuma,positive,rich food too
473,abincin da ya lalace sosai,negative,very spoiled food
474,abincin dabbobi,neutral,animal feed
475,abincin dare akadafa,neutral,cook dinner
476,abincin karin kumallo mai dadin,positive,delicious breakfast
477,abincin ku,neutral,your food
478,abincin lafiya,positive,healthy food
479,abincin yana da dadi,positive,the food is delicious
480,abinda bai dace ba,negative,the thing is not right
481,abokai masu fara'a,positive,cheerful friends
482,abokai masu hankali,positive,smart friends
483,abokai na musamman,positive,special friends
484,abokai ne,neutral,friends
485,abokai suke,neutral,friends
486,abokan ajin farin ciki,positive,happy classmates
487,abokan banza ne,negative,they are bad friends
488,abokan gaba,negative,the enemies
489,abokan kirki ne,positive,they are good friends
490,aboki mafi kyau,positive,the best friend
491,aboki mai fara'a,positive,a cheerful friend
492,aboki mai farin ciki,positive,a happy friend
493,aboki mai hakuri,positive,a patient friend
494,aboki mai hankali,positive,a smart friend
495,aboki mai hikima,positive,a wise friend
496,aboki mai karfi,positive,a strong friend
497,aboki mai kyau ,positive,good friend 
498,aboki mai taimako,positive,a helpful friend
499,aboki mai tausayi,positive,a compassionate friend
500,aboki mai tsari,positive,an organized friend
501,aboki mara kyau ne,negative,he is a bad friend
502,aboki na gaskiya,positive,a true friend
503,aboki na musamman,positive,a special friend
504,aboki nagari,positive,good friend
505,aboki ne,neutral,is a friend
506,aboki ne cikakke,positive,it is a perfect friend
507,aboki ne nagari,positive,he is a good friend
508,abokin adawa,neutral,the opponent
509,abokin aiki,neutral,a colleague
510,abokin aikina,neutral,a colleague of mine
511,abokin ciniki,neutral,the customer
512,abokin ciniki abokin ciniki ne,neutral,the client is a client
513,abokin ciniki akan al'amura,neutral,client on matters
514,abokin ciniki ne,neutral,it is a customer
515,abokin ciniki shine mutum,neutral,the client is a person
516,abokin hamayya,neutral,opponent
517,abokin tarayya,neutral,an associate
518,abokin tarayya ne,neutral,he is a partner
519,abokin zama ne,neutral,he is a roommate
520,abokin zamansu,neutral,their partner
521,abokina masoyi,neutral,dear friend
522,abokiyar rayuwa ce,neutral,she is a lifelong friend
523,abota ce mai tsafta,positive,it is a pure friendship
524,abota ce mai wadata,positive,it is a rich friendship
525,abota mai karfi,positive,strong friendship
526,abota mai kyau,positive,a good friendship
527,abu a cikin dunkule,neutral,thing in a lump
528,abu mafi wahala,negative,it's the toughest thing
529,abu mafi zalunci,negative,the cruelest thing
530,abu mai ban dariya,positive,funny thing
531,abu mai ban tsoro,negative,a grotesque thing
532,abu mai datti,negative,a dirty thing
533,abu mai gamsarwa,positive,a satisfying thing
534,abu mai guba ash-launin toka,negative,ash-gray toxic substance
535,abu mai ja da baya,negative,a retractable object
536,abu mai kyau,positive,a good thing
537,abu mara kyau ne,negative,it is a bad thing
538,abu mara kyau ne a bata suna,negative,it's a bad thing to discredit
539,abu na yau da kullun,neutral,an ordinary thing
540,abu na zahiri,neutral,a tangible thing
541,abu nasa,neutral,his own
542,abu ne,neutral,it is an item
543,abu ne amintacce,neutral,it was a trusted thing
544,abu ne cikakke,positive,it is a perfect thing
545,abu ne da ake bukata,neutral,it's a requirement
546,abu ne da ba al'ada ba,negative,it is an abnormal thing
547,abu ne mai adalci,positive,it was a fair thing
548,abu ne mai albarka,neutral,it was a fortuitous thing
549,abu ne mai aminci,positive,it is a safe thing
550,abu ne mai aminci a yi,positive,it is a safe thing to do
551,abu ne mai ban tausayi,negative,it's a very sad thing
552,abu ne mai ban tsoro,negative,it's a bearish thing
553,abu ne mai bin doka,neutral,it's a law-abiding thing
554,abu ne mai cutarwa,negative,it's a harmful thing
555,abu ne mai dabara,neutral,it's a strategic thing
556,abu ne mai daraja a yi,positive,it was an honorable thing to do
557,abu ne mai farin ciki,positive,it is a happy event
558,abu ne mai gamsarwa,positive,it is a satisfying thing
559,abu ne mai girma,positive,it's a super thing
560,abu ne mai girman kai,negative,it was a conceited thing
561,abu ne mai hadari,negative,it's a dangerous thing
562,abu ne mai jarumtaka,positive,it was a very brave thing
563,abu ne mai jaruntaka,positive,it was a very brave thing to do
564,abu ne mai kima,positive,it's a valuable thing
565,abu ne mai kyau,positive,it is a good thing
566,abu ne mai lafiya,positive,it's a healthy thing
567,abu ne mai mahimmanci,neutral,it's a fundamental thing
568,abu ne mai matukar rudani,negative,it was very confusingly
569,abu ne mai muni,negative,it's a terrible thing
570,abu ne mai rikitarwa,negative,it is a complex thing
571,abu ne mai shirye,neutral,it is a ready thing
572,abu ne mai so,positive,it's something that loves
573,abu ne mai tada hankali,positive,it's an uplifting thing
574,abu ne mai tsarki,neutral,it's a saintly thing
575,abu ne mai wuya,negative,it was a hard-hit
576,abu ne mara amfani,negative,a very useless thing
577,abu ne mara kyau,negative,it's a bad thing
578,abu ne na addini,neutral,it's a religious thing
579,abu ne na al'ada,neutral,it is a custom thing
580,abu ne na almara,positive,it's a legendary thing
581,abu ne na bata suna,negative,it's a defamatory thing
582,abu ne na dabba,positive,it's a beastly thing
583,abu ne na dijital,neutral,it's a digital thing
584,abu ne na duniya,neutral,it's a universal thing
585,abu ne na fasaha,neutral,it is a technical thing
586,abu ne na gaba daya,neutral,it's a general thing
587,abu ne na gani,neutral,it's a visual thing
588,abu ne na hadin gwiwa,neutral,it was a joint thing
589,abu ne na halitta,neutral,it's a natural thing
590,abu ne na hankali,neutral,it's a psychological thing
591,abu ne na hukuma,neutral,it's an official thing
592,abu ne na juna,neutral,it was a mutual thing
593,abu ne na juyin juya hali,positive,it's a revolutionary thing
594,abu ne na kabilanci,neutral,it's a racial thing
595,abu ne na kimiyya,neutral,it's a scientific thing
596,abu ne na kowa,neutral,it's a common thing
597,abu ne na kwayoyin halitta,neutral,it's a genetic thing
598,abu ne na likitanci,neutral,it's a medical thing
599,abu ne na rashin gaskiya,negative,it was a dishonest thing
600,abu ne na rashin mutunci,negative,it's a dishonorable thing
601,abu ne na ruhaniya,neutral,it is a spiritual thing
602,abu ne na sadaka,positive,it is a charitable thing
603,abu ne na shaitan,negative,it's a devilish thing
604,abu ne na shekara-shekara,neutral,it's an annual thing
605,abu ne na sihiri,positive,it is a magical thing
606,abu ne na sirri,neutral,it's a private thing
607,abu ne na soyayya,positive,it's an affectionate thing
608,abu ne na taka tsantsan,neutral,it's a cautionary thing
609,abu ne na talla,neutral,it's a marketing thing
610,abu ne na tattalin arziki,neutral,it's an economic thing
611,abu ne na wulakanci,negative,it's a despotic thing
612,abu ne na yanki,neutral,it's a regional thing
613,abu ne na yau da kullun,neutral,it's a routine thing
614,abu ne na yaudara,negative,it's a deceptive thing
615,abu ne na zahiri,neutral,it is a physical thing
616,abu ne sananne,neutral,it's a popular thing
617,abubuwa da yawa suna burge ni,positive,a lot of things fascinate me
618,abubuwa da yawa suna da ban tsoro,negative,a lot of things are acrimonious
619,abubuwa daban-daban,neutral,different things
620,abubuwa iri-iri,neutral,various things
621,abubuwa mara kyau,negative,bad things
622,abubuwa masu farinciki,positive,happy things
623,abubuwa masu guba,negative,toxic ingredients
624,abubuwa masu kyau,positive,good things
625,abubuwan ban dariya,positive,funny stuff
626,abubuwan ban sha'awa,positive,impressive posts
627,abubuwan da ke faruwa a yanzu suna da girma,positive,current events high
628,abubuwan da ke tsare,neutral,things in custody
629,abubuwan da suka fi dacewa sune layi,neutral,the highlights are the lines
630,abubuwan da suka lalace,negative,damaged things
631,abubuwan da suka wuce,neutral,the overtakes
632,abubuwan gina jiki,positive,nutrients
633,abubuwan haé“akawa,positive,the improvements
634,abubuwan jin dadi suna nan,neutral,the sensations are there
635,abubuwan sanyi masu dadi,positive,delicious cold stuff
636,abun abun ciki ne,neutral,it's a composition
637,abun al'ajibai,neutral,is a miracles
638,abun ban sha'awa,positive,it is interesting
639,abun ciki,neutral,content
640,abun cikin littafi,neutral,book content
641,abun cikine yaban haushi,negative,the content provoke me
642,abun da ba zai yiwu ba,negative,the impossible thing
643,abun da ya fadi,negative,a fallen object
644,abun da ya karye,negative,a broken object
645,abun fashewa,negative,explosive
646,abun gaggawa,neutral,emergency
647,abun gangar jiki ne,neutral,it is a trunk thing
648,abun jin dadi ne,positive,it is a fun hit
649,abun kunya,negative,what a shame
650,abun kyama,negative,it's disgusting
651,abun rashin mutunci ne,negative,it's a dishonorable thing to do
652,abun sihiri ne,positive,it's a magical thing
653,abun wani abu ne,neutral,the item is something
654,abun ya fara zafi,negative,the thing started to hurt
655,abun ya karye,negative,the thing is broken
656,ace masu arziki,positive,save the rich
657,ace mutane,positive,save people
658,ace yaran,positive,save the children
